DEBUG 2024-12-26 10:11:46,467 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\core\checks\database.py first seen with mtime 1733426951.1704895
DEBUG 2024-12-26 10:11:46,467 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\_collections_abc.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,467 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\asyncio\threads.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,467 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\rest_framework\fields.py first seen with mtime 1735095407.5415225
DEBUG 2024-12-26 10:11:46,469 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\importlib\__init__.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,469 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\encodings\aliases.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,469 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\dis.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,469 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1733426950.8064833
DEBUG 2024-12-26 10:11:46,471 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1733426951.1664894
DEBUG 2024-12-26 10:11:46,472 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1734007217.8957882
DEBUG 2024-12-26 10:11:46,472 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\sqlite3\dbapi2.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,472 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1733426951.1704895
DEBUG 2024-12-26 10:11:46,474 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1733426951.250491
DEBUG 2024-12-26 10:11:46,474 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\encodings\__init__.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,474 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\template\library.py first seen with mtime 1733426951.2384908
DEBUG 2024-12-26 10:11:46,475 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1734007217.891788
DEBUG 2024-12-26 10:11:46,475 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\idna\package_data.py first seen with mtime 1734929536.6387267
DEBUG 2024-12-26 10:11:46,475 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1733426951.1224887
DEBUG 2024-12-26 10:11:46,475 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1733426950.5464787
DEBUG 2024-12-26 10:11:46,477 autoreload File E:\code\spark_main\djangoProject\visualization\apps.py first seen with mtime 1734921693.8505964
DEBUG 2024-12-26 10:11:46,477 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\warnings.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,477 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1734007217.891788
DEBUG 2024-12-26 10:11:46,477 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\db\backends\sqlite3\base.py first seen with mtime 1733426951.1984901
DEBUG 2024-12-26 10:11:46,477 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1734007217.8957882
DEBUG 2024-12-26 10:11:46,477 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\rest_framework\utils\timezone.py first seen with mtime 1735095408.192511
DEBUG 2024-12-26 10:11:46,478 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\urllib3\_version.py first seen with mtime 1734929535.7763085
DEBUG 2024-12-26 10:11:46,478 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\utils\decorators.py first seen with mtime 1733426951.250491
DEBUG 2024-12-26 10:11:46,478 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\DLLs\_asyncio.pyd first seen with mtime 1733406183.68877
DEBUG 2024-12-26 10:11:46,479 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\template\backends\base.py first seen with mtime 1733426951.2424908
DEBUG 2024-12-26 10:11:46,480 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\requests\cookies.py first seen with mtime 1734929537.4723864
DEBUG 2024-12-26 10:11:46,480 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\urllib3\http2\__init__.py first seen with mtime 1734929535.8073115
DEBUG 2024-12-26 10:11:46,480 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\urllib3\util\timeout.py first seen with mtime 1734929535.828822
DEBUG 2024-12-26 10:11:46,480 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\email\_header_value_parser.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,480 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\http\__init__.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,482 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\contrib\postgres\forms\array.py first seen with mtime 1733426951.0064867
DEBUG 2024-12-26 10:11:46,483 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\db\backends\sqlite3\schema.py first seen with mtime 1733426951.20249
